Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Isaiah Taylor,ATL,17,0,16.2,2.3,5,0.459,0.5,1.2,0.4,1.8,3.8,0.477,0.506,1.1,1.6,0.667,0.1,1.1,1.2,2.2,0.5,0.3,1.1,1.1,6.1
Jeff Teague,MIN,22,22,34,4.8,11,0.432,1.5,3.6,0.425,3.2,7.4,0.436,0.502,2.7,3.3,0.819,0.3,2.5,2.9,7.5,1.6,0.4,3,2.5,13.8
Mirza Teletovic,MIL,10,0,15.9,2.5,5.7,0.439,2.1,4.5,0.467,0.4,1.2,0.333,0.623,0,0,0,0.3,2,2.3,1,0.4,0.1,0.7,1.4,7.1
Garrett Temple,SAC,23,17,25.8,2.9,7.4,0.392,1.6,4,0.402,1.3,3.4,0.38,0.5,1,1.3,0.759,0.2,2.1,2.3,1.6,1.1,0.5,1.2,2,8.4
Milos Teodosic,LAC,2,2,16,2,6,0.333,1.5,3.5,0.429,0.5,2.5,0.2,0.458,0,0,0,0,0.5,0.5,4,0,0.5,1.5,1.5,5.5
Jason Terry,MIL,10,0,11.1,0.6,1.9,0.316,0.1,1.2,0.083,0.5,0.7,0.714,0.342,0.2,0.2,1,0,0.9,0.9,0.6,0.7,0.4,0.4,0.7,1.5
Daniel Theis,BOS,24,2,12.5,1.8,3.3,0.564,0.1,0.6,0.214,1.7,2.7,0.641,0.583,0.8,1,0.75,1.4,2.8,4.2,0.5,0.5,0.8,1.3,2.3,4.5
Lance Thomas,NYK,21,1,15.8,1.4,3.8,0.38,0.5,1.4,0.333,1,2.3,0.408,0.443,0.9,1.1,0.792,0.8,1.9,2.7,0.5,0.2,0,0.6,1.6,4.2
Klay Thompson,GSW,26,26,33.3,8.1,15.8,0.51,3.5,7.3,0.474,4.6,8.5,0.541,0.619,1,1.1,0.862,0.5,3.8,4.2,2.5,0.7,0.7,1.5,1.8,20.6
Tristan Thompson,CLE,8,5,21.6,1.9,3.3,0.577,0,0,0,1.9,3.3,0.577,0.577,0.6,1.4,0.455,2.1,4.3,6.4,0.4,0.1,0.5,0.8,2,4.4
