Rk,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
59,Corey Brewer,SF,LAL,24,1,11.8,1,2.3,0.429,0.1,0.7,0.188,0.9,1.7,0.525,0.455,0.5,0.8,0.667,0.2,1,1.3,0.8,0.8,0.2,0.5,1.4,2.6
60,Malcolm Brogdon,PG,MIL,22,10,29.9,5,10.7,0.466,1.5,3.7,0.42,3.5,7,0.49,0.538,1.3,1.5,0.848,0.2,2.5,2.8,3.7,0.9,0.2,1.5,2.3,12.8
61,Aaron Brooks,PG,MIN,11,1,4.8,0.9,1.9,0.476,0.5,0.9,0.5,0.5,1,0.455,0.595,0.1,0.2,0.5,0.2,0.4,0.5,0.6,0.1,0,0.2,0.6,2.4
62,Dillon Brooks,SF,MEM,24,16,28.8,3.1,6.8,0.46,0.8,2.3,0.327,2.4,4.5,0.528,0.515,1,1.3,0.742,0.7,2.9,3.6,1.3,1,0.5,1.6,3.3,8
63,Bobby Brown,PG,HOU,16,0,6.4,0.9,3.1,0.306,0.6,2.1,0.273,0.4,1,0.375,0.398,0.1,0.1,0.5,0,0.4,0.4,0.6,0.2,0,0.5,0.3,2.5
64,Jaylen Brown,SF,BOS,24,24,31.4,5.3,11.7,0.457,1.8,4.5,0.402,3.5,7.2,0.491,0.534,2.3,3.8,0.604,1.1,4.8,5.9,1.3,1.1,0.3,1.5,2.9,14.8
65,Lorenzo Brown,PG,TOR,5,0,9.4,0.2,1.2,0.167,0,0.6,0,0.2,0.6,0.333,0.167,0,0,,0,1.4,1.4,1,0.6,0,0,0.6,0.4
66,Sterling Brown,SG,MIL,5,0,5.8,0.8,2.4,0.333,0.2,0.8,0.25,0.6,1.6,0.375,0.375,0,0,,0.4,0.6,1,0.4,0.4,0,0.2,0.8,1.8
67,Nicolas Brussino,SF,ATL,4,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.8,0.8,0,0,0,0,0,0
68,Reggie Bullock,SF,DET,11,3,15.1,0.9,2.9,0.313,0.3,1.7,0.158,0.6,1.2,0.538,0.359,0.2,0.4,0.5,0.3,0.8,1.1,1.1,0.7,0.2,0.2,0.5,2.3
69,Alec Burks,SG,UTA,25,0,19.4,3.5,8,0.437,1.1,2.7,0.403,2.4,5.3,0.455,0.505,2,2.3,0.895,0.2,2.7,3,1.2,1,0.3,1,1.3,10.1
70,Jimmy Butler,SG,MIN,24,24,36.9,6.7,14.7,0.453,1.1,3.1,0.365,5.5,11.6,0.477,0.492,4.5,5.3,0.843,1.3,4.2,5.4,4.8,1.8,0.3,2,1.5,18.9
71,Bruno Caboclo,SF,TOR,2,0,3.5,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,0.5,0.5,0,0,0.5,0
72,Jose Calderon,PG,CLE,16,10,14.4,0.8,2.1,0.382,0.4,1.2,0.368,0.4,0.9,0.4,0.485,0.3,0.4,0.833,0.2,0.9,1.1,1.4,0.5,0,0.8,1.4,2.4
73,Kentavious Caldwell-Pope,SG,LAL,22,22,34.5,4.8,11.6,0.414,2.1,5.8,0.362,2.7,5.9,0.465,0.504,2,2.8,0.705,0.9,4.3,5.1,2.3,1.7,0.3,1.7,2,13.7
74,Isaiah Canaan,SG,HOU,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
75,Clint Capela,C,HOU,23,23,25.3,5.7,8.6,0.657,0,0,0,5.7,8.6,0.66,0.657,1.9,3,0.623,3.3,7.9,11.2,1.2,0.8,1.7,1.6,2.9,13.2
76,DeMarre Carroll,SF,BRK,22,22,29.7,4.4,10.5,0.416,1.9,5.2,0.365,2.5,5.3,0.466,0.506,3,4,0.739,1.7,5.4,7.1,1.8,1,0.5,1.5,2.4,13.6
